text,label
"Kate is having an issue with a printer on the 1st floor and needs Andy's help. Andy is unresponsive and dismissive of Kate's urgency, leading to a heated exchange where Kate accuses Andy of being a jerk",1
"Dex invited Matt, Derek and his sister to watch the game on Saturday. Matt is not happy to hang out with Derek.",0
"Ali has invited Lucie to visit him in Senegal. Jana, Stefan with daughters and Ali's daughter are coming to stay from 30 March to 12 April. Ali tells Lucie to bring toothpaste with her. Lucie had a car accident.",0
"Greg is going to Barcelona for New Year's Eve because he is tired of snow and the tickets were cheap. Kyle is considering going there too, but Anna wants to stay with her parents. Kyle might go skiing instead.",1
Paul is having a hard time assembling Ikea furniture Meggie bought. Lenny is going to help him with his drill-driver.,0
Karen is afraid Jay has a problem with alcohol. He comes home drunk every day. ,0
Doug and Luke discuss Jim's latest post and Luke's discomfort with the happiness expressed about his death. They also talk about the freedom of speech and how technology has changed people's perspectives. They reminisce about their youth and,1
"Aaron and Max are discussing going to a comic con event in Warsaw, which takes place on Saturday and Sunday. Aaron is able to get cheap tickets for 20zł each, and they agree to meet up at the Centrum metro",1
"Emma didn't invite Ethan to the party, but someone informed him about it. Emma will say sorry to Ethan later. ",0
"Akihiro and Bolesław discuss the dangers of globalism and the importance of national pride in history, while Iwona expresses her belief that many Polish people accept and like globalism.",1
"The group discusses the idea that love is often equated with life and how this can create dependency, jealousy, and frustrations. They argue that love should be approached without a plan and that it is beautiful and intense, but not meant to",1
"Flo's brother is still ill. She's looking for a substitution for the next 2 weeks. Daisy is on holiday next week, so she'll substitute her the week after. Flo will send her the program and leave the books at Edith.",0
Miles and Jamie are discussing their upcoming football match and express excitement and disappointment about their previous performance.,1
"Maya got back from China yesterday. Maya will tell Tom all about the trip in person. Maya doesn't like flying. Maya will call Tom in the morning to tell him if they're meeting tomorrow, as she may go shopping with her mom.",0
"Patricia and Edgar have a heated conversation about a man who threw newborn kittens into a river, with Patricia expressing her anger and Edgar struggling to understand the cruelty behind such actions.",1
Natasha and Cynthia left.,0
Julie recommends the GlamRock cream from the GlamShop. Chloe got the money early so she can pay back Julie. Julie and Jake are getting the dog so they need the money for extra dog-related expenses.,0
Lidia requests Rita to make scrambled eggs for her.,1
Nuria's birthday is today. ,0
Ronnie agreed to lend Heidi her jacket.,0
Ray's bike was stolen and he is posting it on Facebook to ask for help in finding it. Sam and Luke share and offer their assistance. Ray had a high-grade lock and an app alert but the thief still managed to steal it,1
Demi got promoted. She will celebrate that with Lucas at Death & Co at 10 pm.,0
Joel requests two chicken wings and Jim agrees to buy them for him.,1
In 20 minutes Miller will help Aliza in cooking.,0
There will be a remake of 'Pet Sematary' by Stephen King. Coleen is a fan of horrors. Coleen and Glenn watched 'Friday the 13th' together and Glenn hated it. ,0
Sandy is going to NYC and Vegas in January and is worried about the hair dryers in the hotels. Melinda suggests not packing one and getting a blow out at the salon in the hotel in Vegas instead.,1
"Jill is asking June if she is there yet and June is saying she is almost there, and Jill is saying she will be a little late and asking June to get a nice table for them.",1
Marc and John are looking at a photo and discussing the appearance of their friends.,0
"Alex and Ben are discussing where Logan studies, and while Ben is not certain, he suggests it could be nursing at the Medical College.",1
Kirsten is excited to have tickets to see Ed Sheeran in concert in August.,1
"Adam is still at class, which he finds very boring. ",0
"Aria met Charlie Evans, who is doing well and has two adorable daughters. She also recently met Cooper Roy, who has changed a lot and she barely recognized him. Maverick remembers their high school days and the gossip they used",1
Madelene and John will have pizza and prosecco at the usual place at 5 pm.,0
"The group agrees to meet at Marilyn's place to work on a project, with the condition that they order pizza since Jack is hungry. April finds it a cool idea, while Pauline is excited to visit Marilyn's place",1
Frank bought a sofa. Veronica doesn't like it. They will talk about it when he's back.,0
Connor missed the bus as he had to talk to the teacher. Mom will pick him up from Randall's in 2 hours. Connor will text Mom the address.,0
"Preston and Dominick are coming to the extra knitting lessons. Dominick has never had the patience for knitting, his grandma tried to teach him but he was hopeless.",0
"Maia apologizes to Aydan for what happened, but Aydan dismisses her and tells her to let it go. Maia asks if she should talk to Adam, but Aydan says there is no need. Maia ment",1
Otto went to One Direction concert with his family last weekend. He didn't tell Regan. The next concert is in LA next week.,0
"Brian was jogging and didn't hear his father's call. At his dad's request, Brian will pick up Danny around 3.45 pm on his way to FR.",0
Rod offers to close Monica's window and she thanks him.,1
"According to Seth, they overpay Seth Sanchez for playng for Manchester United.",0
"Lonnie's favourite superhero is Batman, Randy's is Superman and Sam's Spiderman.",0
Phil shows Jason a photo of a car he likes and Jason comments on its smartness. They discuss the price and mileage of the car.,1
April is sick and will stay in bed. She had to reschedule the meeting with John for next week.,0
Raul and Germaine catch up and discuss their fitness progress. Germaine has been busy with her kid but is now able to get back on track with her mother living closer. Raul has been consistently working out and Germaine compliments his progress,1
"Gloria shows a photo of her brows and tells her friends that she found it on the internet. Ted is confused and asks where she found it. Frank asks if there is any homework for tomorrow and Gloria says no, but they are having a",1
Itzel agreed to lend Leon her camera and he will pick it up from her home in an hour.,1
Tom booked a tennis court for Sunday but Mike can't play with him. He injured himself while running last week. Tom has to cancel the reservation.,0
"Simon needs someone to go to a conference with him on Thursday and Friday since Alan had an accident, and Derek offers to go with him.",1
"Pearl's boyfriend mistreats her but she loves him anyway. Patrick is trying to convince her to leave him. Pearl is fat and ugly, so it's not so easy for her.",0
Nestor wants to take a lot of classes this semester. Aida advises Nestor to focus on essentials. They dislike the grading system. Aida listens to Ludmilla to improve her Portuguese. Nestor recommends Pablo Vittar.,0
Evie has a new colleague who has just started today. He's handsome.,0
"Martha asks Walter to buy some cookies or chips on his way home, but Walter remembers that Brenda is allergic to gluten, so he suggests buying fruit instead.",1
"Helen compliments Rob for booking the Plaza and reminds him that she has to meet John at 7pm, but assures him that it won't take long. Rob asks Helen to bring his jacket.",1
Emma expresses her gratitude to her friends for a wonderful time and thanks them for their gifts. They all exchange love and see each other around.,1
"Karen is in a hurry for film recommendations, but her boyfriend and she cannot decide on a movie to watch. Charles suggests watching a series, but Karen prefers a movie. Anne offers to help with a drama recommendation, but Karen ultimately decides on a",1
Tom wishes Ann and her family Merry Christmas.,0
"Gaby and Abby are discussing their plans for Valentine's Day. Gaby is not interested in celebrating the holiday, while Abby suggests they go out to dinner at a restaurant they had previously made reservations for. However, the reserv",1
"Kas is unable to visit Laura in December as they need him to stay in the house to keep the heating going and work over Christmas to pay bills, and he has been given reduced hours at work.",1
Sara agrees to bring in the report and also brings a coffee.,1
"Melanie got a gift from a Prince. Liam, Colin and Ciara are excited. Melanie is looking for love, but she is surrounded only by Italians.",0
"Walter and Paige are discussing plans for drinks on Saturday, with Walter offering to pay the bill. Paige expresses concern about the cost, but Walter assures her it won't be excessive.",1
"Sean informed Pieter that the student's application was accepted, and Pieter is sure the student will be relieved.",1
Donald can't come to Jack as he has to talk to his wife about their divorce.,0
Will is interested in doing free Master's in Poland.,0
Marta is sending Preston their favourite GIF.,0
"Richie returns from Norway on May 24th. He is going for a trip to Lofoten and will do some yoga and hiking. Emily had plans for them in Kraków on May 24th-26th, but now Richie suggested another term.",0
Ben and Mark catch up and discuss Ben's recent trip to Thailand. Ben tells Mark that he can work remotely from there and Mark is impressed. Ben asks if he can crash on Mark's couch and Mark agrees. They discuss the timing,1
"Adam informs Mandy that the travel agency they used for their trip, Travel Life, went bankrupt and their friend Mike is stranded in Egypt with no way to return home. Mandy suggests that he should contact the embassy for assistance.",1
"Matthias and John discuss a hilarious news story about China building a horizontal skyscraper, with Matthias suggesting that John look it up on Google.",1
Jacob has completed the literature review of his project. He has found some material on the ECG signal. He sent Rachel the research papers and techniques.,0
"Sofia's sister is coming from Spain at around 7-8 pm. Robert didn't go to university, so he's at home. Sofia's sister doesn't speak English, only French. Robert will have to speak Spanish. ",0
"Tim had lunch with Isabel. She's leaving Jackie today. They've been 4 years together, as Natalie points out. Before that Isabel was with Nicky for 7 years. Nicky didn't date anybody after they broke up. Vicky is indifferent about Isabel. Natalie wil update Mandy on gossips.",0
Susie is coming and Sue is okay with the wait. Susie thanks Sue.,1
"Joanna is good at public speaking and enjoys giving presentations at work. Lee is giving a speech next week at work and is nervous about it, so Joanna offers to help him rehearse it and build his confidence. They plan to meet",1
"Eliza borrows Sammy's copy of ""The Great Gatsby"" for two weeks, to be returned next semester, and they arrange to exchange it during their British literature class.",1
"Ethan and Henry are discussing a new song that Ethan thinks is great, but Henry is confused because he thought the song's release was delayed. Ethan teases Henry for being wrong, and they continue to talk about the song and the",1
Ryanair has changed it's policy. Alicia is traveling to Spain next month. Backpacks in the size accepted by Ryanair have been produced. Alicia and Laura are considering buying them.,0
"Tim invites Paul to his wedding, which is on August 1st, and Paul congratulates him on finally getting Char to agree to the wedding.",1
Grayson is going to shave his head.,0
"Christine is worried that she may have permanently damaged her relationship with a man she had been dating, after an argument in which she felt he had been treating her as though she was inferior. Liv tries to reassure her that he will likely write to",1
Alex wishes Kate a happy birthday and Kate is surprised and grateful that Alex remembers her birthday.,1
Courtney did her first 20-miles ride yesterday. She ate a bug. Younes and Courtney will see at the meet-up.,0
Nick spent 10 hours playing Red Dead Redemption 2 yesterday. It was the best day of his life.,0
Alissa is picking Sophie up. ,0
"Will is stuck in traffic and estimates it will take at least 30 minutes to get out, while Ben also reports being stuck and will provide an update later.",1
Sara is looking for dinner ideas that would take Daniel's lactose intolerance into consideration. Ana will bring dessert at her request.,0
Rachel will pop over to bring the jumpers. Jenny gave back the pink one the previous week. Rachel wanted to keep it for herself. Caron allows Rachel to keep it a bit longer. Rachel will bring the rest in the evening and the pink one on Friday.,0
Kristen wants to buy it next week.,0
"George has been preparing a week for the exam, and Phil, three days.",0
"Jonah and Luke discuss their holiday plans, with Luke opting to stay home with his twins, while Jonah travels to Julie's parents' and then back to his own. They exchange pleasantries and Luke invites Jonah to a",1
"Jessica will make corn muffins using the ""Jiffy"" mix for the Thursday breakfast. She might add some bacon, jalapeno, and cheese to the muffins.",0
Thomas and Kate plan to meet at Jeff's at 6 p.m.,1
"Amy sent a video about corporate food and Leah hasn't watched it yet, Amy urged her to watch it but Leah said she doesn't have the time.",1
Daria is upset with Andy that he was too busy talking to his football friends and didn't talk to her at yesterday's party. They will meet for coffee at Josie's at 4 pm.,0
Patrick and Ella enjoyed karaoke last night. They will go to Kangaroo Boy on Friday.,0
Henry and Ethan will catch up later to discuss the new album of the band they both like.,0
Iris finds the new manageress bossy. Steve claims that the manageress acts as she should act and she's an attractive woman which might be the reason Iris is prejudiced against her. Steve suggests that time will show what kind of boss the manager really is.,0
Jacob will see Daniel next week to check out his new motorbike.,0
Ronnie and Linda will see each other in the evening. Linda will make a burrito and Ronnie will buy some beer.,0
Chloe informs Jennifer about the release of Beaujolais Nouveau wine and wishes her a happy weekend.,1
Juan is coming for a week in September. Anna will not see him because she is going to Cuba then. Juan does not want to come in August because tickets are cheaper for September.,0
Gera got Hope's number from Lucy. She is going to meet Hope at 2 in her office.,0
Lynn will give Anton a lift. He has a blue Clio. They will meet at the train station around 4 pm tomorrow.,0
"Victoria is amazed after watching Adele's Live Concert. Mark, Victoria and Kelly are also huge fans. Kelly's favorite song is Someone Like You and Victoria's favorite song is Water Under the Bridge.",0
"Jackie decided to become a history teacher in elementary school, after her friend Beth told her about the opening. Jackie, who has a major degree in history, loves the job as she wants to shape minds of young people.",0
Freya never wears make-up and she has no make-up products. Amanda is surprised about it.,0
"Sookie and Paul are going to celebrate Paul's exam tonight, even though he is going to receive the results on Monday.",0
"John didn't show up for class due to some work issues with his boss. Cassandra, his teacher told him which exercises to do, and which chapter to study. They are going to meet up for a beer sometime this week after class. ",0
Billy is in Iceland and enjoys the cold weather. He is knitting a scarf while waiting for better weather to hike. Sheila is impressed and suggests that he can make scarves for his family for Christmas.,1
Alfie doesn't like his name. Holly likes it. ,0
"Laura is going to visit Pisa. Teddy is renting a car and they're going to Saturnia, probably on Tuesday. Sean wants to join but he must ask his boss first. ",0
"Penelope showed a photo to Julia and Kate and asked if she should buy it, but they both thought it was too expensive at $40.",1
Emily will be at Josh's in 2 minutes.,0
"Caron suggests putting a Christmas banner on the website for vouchers, but Rob thinks it's not necessary. Caron argues that it's an idea that someone may not have thought about, but Rob is not sure he wants",1
Gordon is eating breakfast at mat's. Terry is going to meet him there to give him the money back.,0
Millie helps Allen with a few ideas what he can buy his wife for birthday. She suggests a gift card for a spa treatment and a bottle of her favourite alcohol and Allen likes the ideas.,0
"Ala and her brother had a fun weekend and visited the Museum of Polish Vodka. Paulina is interested in going there too, despite its high price, as it includes a degustation.",1
"Paul wants to see Tony's assignment, but he hasn't even started it yet. ",0
Gabe has re-sent a photo from New York to Tatiana.,0
Ann's daughter is 2 years old. She has a pink dress and is adorable.,0
Tequila is Thomas' favorite alcohol. Neil prefers vodka.  ,0
"Patrick and Paul discussed Manchester City's poor performance in their recent match against their team, with Patrick arguing that they were unlucky not to have won, while Paul acknowledged their good play but pointed out that they still lost.",1
"Mary invites Peter and Mason to a boarding games night at her place tomorrow at 6, but Matthew cannot attend because he has an exam on Tuesday and needs to study.",1
Alexander borrows Summer's pass because Owen does not have his yet.,1
"Andrew, Nicky and Rick are discussing the upcoming weekend and how they are all looking forward to it after a hard week at work. They also talk about their upcoming project which they usually leave until the last minute. They all agree that they need a",1
Jason and Walt exchange cat videos.,0
"Melania informs Jim that Toby is in Monrovia and will return on Monday, but Jim regrets that he does not have Toby's phone number.",1
Helen finds Dan appealing because he was nice to her lately. But Dan likes Ashley more than Helen. Angelina will tell Helen how to change that tomorrow.,0
"Ruby tossed away the small, red pan, although Sean was still using it.",0
"Annie, Katie and Hannah plan to sleep and chill through the weekend.",0
"Natasha is leaving Sankt Petersburg and Vladimir tells her to drive carefully, while Terry teases her about her driving speed.",1
"Marlie has a very friendly cat. However, the cat doesn't like her brother.",0
"Donna recommends Agnes reading ""Kid’s Stuff: Toys and the Changing World of American Childhood"". Keith recommends ""War Toys, War Movies, and the Militarization of the United States"".",0
Ani's company is not paying them well and Ani is unsure if they should stay or leave. Diana and Lee suggest Ani keep working there while looking for a new job and also offers to lend Ani money if needed.,1
"Daisy and Logan discuss the appearance of a plaid, belted dress, with Daisy thinking it resembles a bathrobe, while Logan thinks it looks nice.",1
Bobby is going to start a project in August. Adam will be available but Michael is already occupied with another project.,0
"Susanne is going to visit Anna during winter break. They might meet Tom, too.",0
Grace wants to create a band with Jack and Luke. Luke thinks it is a good idea.,0
Debra will have a little decluttering party on Friday at her house. Angelica and Heather will help Debra with some of her stuff to get rid of it.,0
"Maggy and Henry discuss their early morning wake up time for an upcoming trip, the limited parking options at their destination, and Maggy's exhaustion.",1
Gemma will come by Suze's office as she forgot her keys.,0
"Nadia is worried that the show Russian Doll will be a repetition of the movie Groundhog Day, while Jolene thinks it's a good show with positive reviews, and Nadia is concerned about the ending.",1
Leslie asks Anne about her hair and Anne reveals that her hair is done by a stylist named Nina in Colorado. Leslie expresses her desire to look as good as Anne and Anne promises to send her the stylist's number later.,1
"Gloria is excited to finally see Ingrid in Sydney, Australia.",1
Jacob found his international driver's license is in the document folder. Omer will come to spend a day at Jacob and Rose's place a few days after they leave.,0
"Elijah and Seth are discussing Alexis Sanchez's struggles at Manchester United while Fav and Shrestha are defending him, with Shrestha pointing out that at least he is playing Champions League football and Abdi adding that there'",1
"The election in Kongo has been postponed in some parts due to the difficulty of holding it amidst the Ebola outbreak and terrorist groups, according to the government, but it is seen as a pretext by the opposition to hinder",1
"Ron asked his father for 50 dollars, but his account and wallet were empty. Kurt sent the money and advised Ron to spend it wisely. Yasmin invited Ron to visit them, and Ron thanked his father and mother for their",1
Rebecca and Thomas are in Bangkok. They enjoy their journey. Amanda is jealous. She considers Bangkok an interesting city.,0
"Dylan is excited it's Saturday and wants to know the time of breakfast, but Henry is unhelpful and doesn't know the answer.",1
Hugh had mic issues and Trent had guitar issues at their show. It's the sound engineer's fault.,0
David had a dream about Polly and Supria and their school. ,0
Bertha and Maude met at the quilt show. Bertha needs some help with the double wedding ring pattern. Maude has made it at least 5 times and can help Bertha. ,0
"Will is in the toilette, Bill is in the foyer, and Wojtek is in a bad queue for the men's room.",1
Adrian wants to get a lunchpad.,0
"Charles did not receive a notification about Vic's latest Foo Fighters cover video on YouTube, so he asked Vic to check his channel. After viewing the video, Charles complimented Vic on his impressive work.",1
"Mary is going to the upper cloister to study, as Jenny suggests there is plenty of space there.",1
"Blake believes that Alexis is trying to turn their son, Steven, against him and has bad influence on Steven. Alexis believes Blake is self-centered and often attacks her and accuses her of things she didn't do.  ",0
"Owen asks Mia about Zoe's departure time, but Mia doesn't know. Mia suggests Owen ask Zoe. Owen writes Zoe. Mia asks Owen if his suit is ready. Owen confirms that it still",1
"Ellie convinces Sara to wear a new skirt she bought shopping with her mum, and Sara agrees to ask her mum to get her something new as well.",1
Jess picked up her dress. Morgan and Lona weren't available. Hillary called the dress shop. Lona and Morgan will have to pick up their dresses on the other side of town. ,0
"Sarah is multitasking by reading a book and watching TV at the same time. The book is scary, but the movie is comforting, and they work well together. Sarah invites Gina to come over and read-watch with her",1
There was an experiment that meant to show how often women are groped in public. Savannah does not believe that such experiments raise awareness of sexual harassment.  ,0
Andy and Lisa are going to be late.,0
"Eli is planning a surprise party for Jeff at his house on his 35th birthday on December 18th. Alison, Nick, George, Lisa and Helen will attend. Helen and George want to chip in for a gift for Jeff. Helen will bring sangria and old pictures.",0
"Adam got an F for his assignment, because it was off-topic. Karol's role was to inform Adam.",0
"Linda and David find Oscar's decision to dress as Spiderman on his last day at work amusing, while Oscar is unamused.",1
"Gary offered Mark a discount on sneakers and Sue also wanted a discount on sandals, so Gary said they could both have one if they waited until Saturday or Sunday.",1
"Nuria recalls her last birthday over the Atlantic and Frank and Joyce are surprised to learn it's her birthday today, prompting them to celebrate.",1
"Jim has a temperature of 37,5°C and a slight headache. He is not coming to work today. Several people at the office have the flu.",0
Geoffrey proposes playing football every weekend and Jeff and Jim agree to join in if a day and location can be arranged.,1
David received birthday wishes from Yoav and Yuval with a photo attached.,1
Kevin wishes happy birthday to Simon. Kevin'd like to see Simon at his wedding but Simon's not sure about the exact date of his return. Simon promises to visit Kevin and his wife as soon as he's back.,0
Raquel and Laura have a cold. Laura's boyfriend is taking care of her.,0
"Yohan asks if Franz and Mark are at home, and they both reply that they are about to shower, so Yohan says never mind.",1
Judith can't meet Max because of work. Max and Judith have been together for 3 months. Max earns good money despite not working many hours.,0
Brad wants to buy an ukulele or a xylophone.,0
Victoria is in the toilet and there's no toilet paper. Skylar will bring her some.,0
Kim is excited about her upcoming trip to Europe and can't sleep due to excitement. Kerri suggests counting sheep to help Kim fall asleep and shares her own excitement about the trip. Kim has been planning for more than six months and originally only planned,1
Pat got scented candles as a thank you gift from Anthony. He needed legal expertise and Pat helped him to finish the project.,0
Wojtek and Will are going for holidays to Eritrea. They're leaving on 7 April. It's quite expensive because everything is controlled there and tourists can travel only with a local travel agency. ,0
"Kamil, Thomas with his girlfriend, Godek and Prosty with his girl are going bowling tomorrow at 8 p.m. at the same place as the last time.",0
Jane provides Caroline with Julia's phone number.,1
"Charles wants to form a band and involve Martin as a singer, himself as a drummer and Daniel as a guitarist. ",0
James informs Jessi that Peter is compiling the questions and answers from both exam groups and will post them on their Facebook group for those who need to retake the test.,1
"Nicole excitedly tells Frank that she has a new puppy, Sassy, which she received for free from a guy with a bunch of puppies. Frank is surprised and asks if Sassy is pedigree, but Nicole assures him that",1
"Cedric will bring Suarez's flash drive back tomorrow. If Suarez is not there, Cedric will give it to Nolito.",0
Emily wants to know more about the gym Jerry talked about. It's well ventilated and there's plenty of room. The fitness trainers are ACSM certified. The fee is not that expensive. Emily's father wants to join her. It's been 3 months since Jerry started to go there.,0
Jim is visiting Madera. Jim has a driving license. Jim is a vegetarian. ,0
Gabriella got a new 2005 Mercedes hatchback. Derek and Casey are going to Cieszyn in 2 weeks. Their children will train hockey there. Gabriella will meet Tasmin in Berlin. Gabriella bought her car for 10k on OLX. She will show it to Derek when they have lunch together.,0
"Joanna, Isaac and Yasmin will meet up next week.",0
Suzie wants Mona to buy some apples and pears. Suzie will make an apple and pear tart.,0
Greg and Will make comments on a photo. Will asks if Greg and Betty will invite him to their party. Greg says yes.,0
Annie and Shona discuss their experiences with motherhood and the challenges of balancing parenthood with their own needs and desires. They also talk about their plans to spend time together and share responsibilities for taking care of their children.,1
"Adam has a problem with using Baron, because Yahoo introduced a new rule five years ago. He asks Charlie for help. Charlie helps Adam.",0
Mark found Ian's notebook in his backpack.,1
"Julian cancels the band's performance at Blind Goose due to unforeseen circumstances and apologizes for the inconvenience. He informs that they are aiming to reschedule for next Tuesday, weather permitting. Br",1
Richie has not seen the last episode of QaF and is unaware of the intense flashback and music that made Penelope and Daphne cry. They are all watching the USA version of QaF while Richie is watching,1
"Erika and Marcus are discussing the location of their class, which is in Room 243. Erika expresses gratitude for the information.",1
"Lillian feels much better now and she's out of town on meetings. Layla has been feeling run down all weekend, she thinks it might be the flu. She hasn't been going to work for the last days. Lillian will call her later to check up on her. ",0
"Jane apologizes to Phil for something, but Phil wants to leave it for a while. Jane expresses her concern about Phil's well-being, but Phil responds that he is okay.",1
Abigail recommends watching funny cats and dogs to lift one's mood on a gloomy day.,1
"Alyssa, Lou and Gina are planning a pajama party. Alyssa will make banana bread, they will order pizza and watch “Casablanca”.",0
"Miranda, Juliet and Hayley are having a party today.",0
"Matt says ""sup, dude?"" to Nick but Nick responds by saying ""Can't talk right now."" and Matt responds with ""Cool, talk to ya later.""",1
The Playful one complains about waking up early and being disturbed all night by a flood caused by a neighbor forgetting to shut off the water in their bathroom.,1
Ali asks Kane for his hard drive and Kane agrees to give it to him.,1
"Germaine is now able to pick his workout up where he left off because his mother moved closer to him, and she can help him take care of his child. Raul on the other hand has never stopped working out.",0
Heather's sister will bring Peter dinner in half an hour. Lovey and Alistair are off nursery and going back tomorrow. Heather is working tomorrow. Heather's mother passed away. Heather and her kids will visit Peter tomorrow afternoon and bring a cake. ,0
"Jack is halfway through playing Red Dead Redemption 2 and thinks it's great, while Mike has just started and is excited to play it.",1
"Daniel and Emma are catching up, Daniel apologizes for not being able to talk earlier as he was sleeping. They discuss Daniel's recent experiences, including falling in love with a married woman and going on a phone call with her for three hours,",1
"The group is discussing a personality test based on the Harry Potter characters, with Danielle and Tracy enjoying it while Darren and Neil are skeptical. Neil reveals that the questions are often moronic and Darren suggests that if one can",1
James will buy a set of forks at IKEA on John's request.,0
"Lynn forgot to respond to Kittie's previous message about Christmas jam, but managed to find some organic oranges at the organic market near the old city to make her own marmelade.",1
"Miguel is going to buy the same 8% oil that Ines has. There are cheaper ones, but they're like 2.5% only. Ines is using the one with normal flavor.",0
Patrik is convincing Cindy to come to his Oscar party around 7. He hopes that La La Land will win the main award.,0
"Jazz, Kerry, and Sarah are discussing plans to go to the cinema, either with or without kids. They settle on going on a Monday night to see Bohemian Rapsody and on a Saturday morning to see Mary Poppins.",1
Leon won't drink too much on Pierre's request.,0
"Nancy and Suzie are discussing a gift for Michel and Josie's wedding. Suzie suggests practical items like towels and cutlery, while Nancy jokes about being old.",1
Sam is going to buy toilet paper in Costco.,0
"Zach asked Wilfred for the name of a barber, and Wilfred recommended Route 66. Zach thanked him and clarified that he only wanted a regular haircut and trimming.",1
"Lauren and Conner are discussing the preparations for a party. They need to find decorations, get food, and music. Conner offers to help with the music and has speakers. Lauren asks about Bryan and Gabby and Jo, who are",1
Alex is landing at 6am on Saturday. Ivy will prepare a 'welcome home' meal.,0
Dave and Tracy are having trouble finding a reasonably priced hotel in Vienna. Bratislava was much cheaper. It's only 2 nights. Dave will keep trying on booking.com. Tracy has a 10% discount there.,0
Lily is congratulating Peter and his team on their victory in a match. Peter's team earned championship. ,0
Mary's telephone number is 07911 123456.,0
Amy is jealous that Mark is staying with a beautiful girl next to him on his flight to LA. She tells him to come back soon and to take care of himself while he's away. Mark assures her that he will and that he loves,1
Franek and Ania are both watching Riverdale.,1
"Jason seeks suggestions for Oahu in Hawaii, where he will stay for a week with his lady. Rio lives in Hawaii but never visited Oahu, and he recommends going with Marlin travels.",0
Linda bought a red dress at King's Cross shopping mall. Rhonda has to get something similar today.,0
Roman is available either on weekends or on weekday early mornings. Roman and Szczepan will meet in 2 hours to talk about the project. Roman is in the city now and he has found a quiet place where they could talk.,0
"Martha, Bridget and Jenna want to go to Belfast for 3 days on January 3. Martha found tickets for 38 PLN.",0
"Elisa, Sadie, Carol, Liam, Tom and John want to go for drinks tonight at Mombasa. Arthur will come with Alice. Kai will join them around 8. Elisa will book the big corner table for 15 people.",0
"Aurora told Isabela that her fall on a slippery floor at her cousin's wedding last February was immortalized on a photo. As she didn't really enjoy the wedding, the accident made it more fun, but overall she is happy that nothing particularly serious happened to her.",0
"Ollie asks Megan what she wants for her birthday, Megan suggests a plant or kawaii pens/stationery, Ollie suggests books, and Megan says ebooks are fine since she's decluttering.",1
"The company is organizing a fund-raiser campaign to support LGBT rights, and the conversation revolves around the participants' opinions on the matter, with Anna and Peter expressing their doubts and Howard defending the initiative.",1
"Charles will go with Victor to the museum tonight. There is an opening of an exhibition about cubism. There'll be food, music and VIPs.",0
"April didn't sleep well tonight. When April was there, she slept very well. April is interested in the kind of mattress that Matt has. Matt wanted to buy a cheap and hard mattress, but bought an expensive and soft one instead after trying it out. April may look for a mattress tomorrow.",0
"Adam agrees to buy the Christmas tree after work, and Ann prepares decorations in anticipation.",1
Odin will help Matilda to get prepared for their math test taking place in two days.,0
"Rachel and Ivonne are meeting at 6.30 tomorrow at the main entrance to the departures, and Alex is joining them. Rachel is excited to see them, while Ivonne is saying goodnight.",1
Laura and Helen expressed their difficulty in passing their exam while Paula showed concern.,1
Lily is from Sydney and Meghan is from NYC. ,0
